TAG,ACCURACY,PRECISION,RECALL(TPR),SPECIFICITY(TNR),F1-SCORE
NN,97.864,95.699,95.745,98.569,95.722,
OT,99.854,99.189,99.186,99.92,99.188,
CC,99.369,91.881,97.502,99.481,94.608,
JJ,98.826,89.718,93.163,99.233,91.408,
PP,99.407,97.737,97.594,99.671,97.665,
AT/DT,99.369,98.187,96.938,99.733,97.558,
VB,98.637,96.666,94.771,99.376,95.709,
PN,99.847,98.962,98.719,99.927,98.841,
RB,98.87,90.19,88.471,99.457,89.322,
TOTAL,9911.589,9535.878,9578.767,9948.522,9555.789,
